id,word,html,description,pronounce
47,ai đời,"<h1>ai đời</h1><h2>khẩu ngữ</h2><ul><li>Fancy<ul style=""list-style-type:circle""><li>ai đời tờ báo lá cải như thế mà cô ta vẫn đọc:<i>fancy her reading such a rag!</i></li></ul></li></ul>",khẩu ngữ: Fancy,
48,ai nấy,"<h1>ai nấy</h1><h2>khẩu ngữ</h2><ul><li>each and all, one and all<ul style=""list-style-type:circle""><li>cả công ty ai nấy đều thương tiếc anh ta:<i>the whole company, each and all, regret his death</i></li></ul></li></ul>","khẩu ngữ: each and all, one and all",
49,ai oán,"<h1>ai oán</h1><h2>adj</h2><ul><li>Plaintive<ul style=""list-style-type:circle""><li>giọng ai oán:<i>plaintive voice</i></li><li>tiếng khóc than ai oán:<i>plaintive lamentations</i></li></ul></li></ul>",adj: Plaintive,
50,ải,"<h1>ải</h1><h2>noun</h2><ul><li>Pass<ul style=""list-style-type:circle""><li>ải Nam Quan:<i>Nam Quan pass</i></li><li>quân trú phòng ở cửa ải:<i>troops garrisoned at a fort covering a pass</i></li></ul></li><li>Hurdle, ordeal, trial<ul style=""list-style-type:circle""><li>vượt qua cửa ải cuối cùng:<i>to overcome the last hurdle</i></li></ul></li></ul><h2>adj</h2><ul><li>Rotten<ul style=""list-style-type:circle""><li>gỗ này đã bị ải:<i>this wood is rotten</i></li></ul></li><li>Aerated and loose<ul style=""list-style-type:circle""><li>phơi cho ải đất:<i>to aerate the soil loose</i></li></ul></li></ul>",noun: Pass,
51,ải quan,<h1>ải quan</h1><h2>noun</h2><ul><li>Frontier pass</li></ul>,noun: Frontier pass,
52,ái,"<h1>ái</h1><h2>excl</h2><ul><li>Oh! Ah! (exclamation of pain or surprise)<ul style=""list-style-type:circle""><li>ái, đau quá!:<i>Oh, it hurts terribly!</i></li></ul></li></ul>",excl: Oh! Ah! (exclamation of pain or surprise),
53,ái ân,"<h1>ái ân</h1><h2>noun</h2><ul><li>Tender love, conjugal affection, passion</li></ul><h2>verb</h2><ul><li>To live in conjugal affection</li></ul>","noun: Tender love, conjugal affection, passion",
54,ái chà,"<h1>ái chà</h1><h2>excl</h2><ul><li>Oh! Ha!<ul style=""list-style-type:circle""><li>ái chà, cà phê đắng quá!:<i>oh, what bitter coffee!</i></li><li>ái chà, sao anh thức dậy sớm thế?:<i>oh, why do you get up so early?</i></li></ul></li></ul>",excl: Oh! Ha!,
55,ái hữu,"<h1>ái hữu</h1><h2>noun</h2><ul><li>Friendly society, guild</li></ul>","noun: Friendly society, guild",
56,ái khanh,<h1>ái khanh</h1><h2>noun</h2>-My darling; my dear<br/>,noun: ,
57,ái lực,"<h1>ái lực</h1><h2>noun</h2><ul><li>Affinity<ul style=""list-style-type:circle""><li>ái lực của muối với nước:<i>affinity of salt for water</i></li></ul></li></ul>",noun: Affinity,
58,ái mộ,"<h1>ái mộ</h1><h2>verb</h2>-To attach; to feel attach to<br/><ul style=""list-style-type:circle""><li>lòng ái mộ:<i>attachment; passion</i></li></ul>",verb: lòng ái mộ:<i>attachment; passion</i>,
59,ái nam ái nữ,"<h1>ái nam ái nữ</h1><h2>adj</h2><ul><li>Hermaphroditic, bisexual, androgynous<ul style=""list-style-type:circle""><li>người ta đồn rằng anh ta ái nam ái nữ, vì anh ta thích ăn mặc như con gái:<i>rumour has it that he is hermaphroditic, for he likes to get girlishly dressed</i></li><li>tính ái nam ái nữ, tình trạng ái nam ái nữ:<i>hermaphroditism, bisexuality</i></li><li>người ái nam ái nữ:<i>a hermaphrodite, a bisexual</i></li></ul></li></ul>","adj: Hermaphroditic, bisexual, androgynous",
60,ái ngại,"<h1>ái ngại</h1><h2>verb</h2><ul><li>To feel compassion for<ul style=""list-style-type:circle""><li>thấy lũ trẻ bơ vơ, ai cũng ái ngại:<i>at the sight of those waifs and strays, everyone feels compassion for them</i></li></ul></li></ul>",verb: To feel compassion for,
61,ái nhĩ lan,"<h1>ái nhĩ lan</h1><h2>noun</h2>-Ireland<br/><ul style=""list-style-type:circle""><li>người ái_nhĩ_lan:<i>Irishman</i></li></ul>",noun: người ái_nhĩ_lan:<i>Irishman</i>,
62,ái phi,<h1>ái phi</h1><h2>noun</h2>-favorite queen<br/>,noun: ,
63,ái quốc,"<h1>ái quốc</h1><ul><li>To be a patriot, to love one's country<ul style=""list-style-type:circle""><li>nhà ái quốc:<i>a patriot</i></li></ul></li></ul>","To be a patriot, to love one's country",
64,ái tình,"<h1>ái tình</h1><ul><li>Love, passion</li></ul>","Love, passion",
65,am,"<h1>am</h1><h2>noun</h2><ul><li>Small temple, small pagoda; hermitage, secluded hut<ul style=""list-style-type:circle""><li>vị sư già sống cô độc trong cái am ở chân thung lũng vắng người:<i>the old monk lived all alone in his hermitage at the bottom of the deserted valley</i></li></ul></li></ul>","noun: Small temple, small pagoda; hermitage, secluded hut",
66,am hiểu,"<h1>am hiểu</h1><h2>verb</h2><ul><li>To realize; to know inside out; to have a good command of ; to know like the back of one's hand; to have a thorough knowledge of; to be expert in (at,on) ; to be well-informed about, to be familiar with<ul style=""list-style-type:circle""><li>am hiểu cặn kẽ một định lý hình học:<i>to know a geometrical theorem inside out</i></li><li>giới am hiểu:<i>well-informed (knowledgeable, expert) circles</i></li><li>am hiểu thị trường lao động thế giới:<i>to be well-informed about the world-wide labour market</i></li><li>chúng tôi chỉ chọn người nào am hiểu lịch sử Việt Nam mà thôi:<i>we only choose someone expert in Vietnamese history</i></li><li>ông ta am hiểu thủ tục hành chính như lòng bàn tay:<i>he knows the administrative procedures like the back of his hand</i></li></ul></li></ul>","verb: To realize; to know inside out; to have a good command of ; to know like the back of one's hand; to have a thorough knowledge of; to be expert in (at,on) ; to be well-informed about, to be familiar with",
67,am pe,<h1>am pe</h1><h2>noun</h2>-Ampere<br/>,noun: ,
68,ảm đạm,"<h1>ảm đạm</h1><h2>adj</h2><ul><li>Gloomy, dreary, sombre<ul style=""list-style-type:circle""><li>một ngày mùa đông ảm đạm:<i>a dreary winter day</i></li><li>bầu trời ảm đạm:<i>A gloomy sky</i></li><li>vẻ mặt ảm đạm:<i>a gloomy countenance</i></li><li>bức tranh ảm đạm về tương lai của thế giới:<i>a sombre picture of the future of the world</i></li></ul></li></ul>","adj: Gloomy, dreary, sombre",
69,ám,"<h1>ám</h1><h2>noun</h2><ul><li>Thick fish soup flavoured with herbs</li></ul><h2>verb</h2><ul><li>To possess<ul style=""list-style-type:circle""><li>chắc là hắn bị quỷ ám, vì hắn khoa tay múa chân và la hét suốt ngày!:<i>he's probably possessed by the devil, because he gesticulates and shrieks night and day!</i></li></ul></li><li>To annoy, to worry<ul style=""list-style-type:circle""><li>đừng ám bố mày nữa, ông ấy bị cao huyết áp trầm trọng đấy!:<i>stop annoying your father, because he is seriously hypertensive!</i></li></ul></li><li>To darken, to stain, to obscure<ul style=""list-style-type:circle""><li>bầu trời bị mây đen ám:<i>the sky is darkened by the black clouds</i></li><li>tan rồi mây ám trời xanh:<i>dispersed, that cloud which darkened the blue sky</i></li><li>quần áo ám đen vì thuốc đạn</li></ul></li></ul>",noun: Thick fish soup flavoured with herbs,
70,ám ảnh,"<h1>ám ảnh</h1><h2>verb</h2><ul><li>To obsess, to haunt<ul style=""list-style-type:circle""><li>nỗi lo âu ngày đêm ám ảnh:<i>day and night haunted by anxieties</i></li></ul></li></ul><h2>noun</h2><ul><li>Haunting worry, obsession</li></ul>","verb: To obsess, to haunt",
71,ám chỉ,"<h1>ám chỉ</h1><h2>verb</h2><ul><li>To insinuate, to allude to, to hint (at)<ul style=""list-style-type:circle""><li>qua bài diễn văn khai mạc, ông cảnh sát trưởng muốn ám chỉ thói quan liêu đáng trách của lực lượng cảnh sát địa phương:<i>by the inaugural speech, the chief constable wishes to allude to the blameworthy bureaucracy of the local police</i></li><li>anh ám chỉ rằng tôi ngu chứ gì?:<i>do you want to imply that I am stupid?</i></li><li>bức biếm hoạ này ám chỉ những người thích nhìn đồng hồ trông cho mau đến giờ về:<i>this caricature makes an allusion to the clock-watchers</i></li><li>thái độ hống hách của bà ta ám chỉ rằng các anh là thuộc cấp của bà ta:<i>her authoritative attitude insinuates that you are her subordinates</i></li><li>anh ta giơ năm ngón tay lên ám chỉ là phải hối lộ năm trăm đô la Mỹ:<i>the fact he raises his five fingers hints at a requisite bribe of USD 500</i></li></ul></li></ul>","verb: To insinuate, to allude to, to hint (at)",
72,ám hại,<h1>ám hại</h1><h2>verb</h2><ul><li>To attempt the life of</li></ul>,verb: To attempt the life of,
73,ám hiệu,"<h1>ám hiệu</h1><h2>noun</h2><ul><li>Secret signal, coded signal<ul style=""list-style-type:circle""><li>nháy mắt làm ám hiệu cho ai:<i>to wink a secret signal at someone</i></li></ul></li></ul>","noun: Secret signal, coded signal",
74,ám muội,"<h1>ám muội</h1><h2>adj</h2><ul><li>Shady, dubious, underhand, sinister<ul style=""list-style-type:circle""><li>không làm điều gì ám muội:<i>to abstain from any shady deed</i></li></ul></li></ul>","adj: Shady, dubious, underhand, sinister",
75,ám sát,"<h1>ám sát</h1><h2>verb</h2><ul><li>To assassinate<ul style=""list-style-type:circle""><li>bị ám sát hụt:<i>to escape being assassinated (assassination)</i></li></ul></li></ul>",verb: To assassinate,
76,ám tả,<h1>ám tả</h1><h2>noun</h2><ul><li>Dictation</li></ul>,noun: Dictation,
77,ám thị,"<h1>ám thị</h1><h2>verb</h2><ul><li>To hint, to insinuate, to suggest</li><li>To insinuate by suggestion<ul style=""list-style-type:circle""><li>ám thị bằng thôi miên:<i>to insinuate by hypnotic suggestion</i></li><li>sự tự kỷ ám thị:<i>self-suggestion, auto-suggestion, self-hypnosis</i></li></ul></li></ul>","verb: To hint, to insinuate, to suggest",
78,an,"<h1>an</h1><h2>adj</h2><ul><li>Safe, secure<ul style=""list-style-type:circle""><li>xuống sông cũng vững, lên đèo cũng an:<i>secure down on the river, safe up on the mountain</i></li><li>an cư lạc nghiệp:<i>to settle down</i></li></ul></li></ul>","adj: Safe, secure",
79,an ba ni,<h1>an ba ni</h1><h2>noun</h2>-(Greogr) Albania<br/>,noun: ,
80,an bài,"<h1>an bài</h1><ul><li>To preordain, to foreordain, to predestine</li></ul>","To preordain, to foreordain, to predestine",
81,an cư,"<h1>an cư</h1><h2>verb</h2>-to live in peace<br/><ul style=""list-style-type:circle""><li> an_cư lạc_nghiệp:<i>to live in peace and work injoy</i></li></ul>",verb:  an_cư lạc_nghiệp:<i>to live in peace and work injoy</i>,
82,an dưỡng,"<h1>an dưỡng</h1><h2>verb</h2><ul><li>To convalesce<ul style=""list-style-type:circle""><li>đi an dưỡng:<i>to go to a convalescent home</i></li><li>sự an dưỡng, thời kỳ an dưỡng:<i>convalescence</i></li><li>người đang trong thời kỳ an dưỡng:<i>a convalescent</i></li><li>nhà an dưỡng:<i>convalescent home, rest center</i></li><li>được nghỉ an dưỡng:<i>to be on convalescent leave</i></li></ul></li></ul>",verb: To convalesce,
83,an giấc,"<h1>an giấc</h1><h2>verb</h2><ul><li>To sleep soundly<ul style=""list-style-type:circle""><li>ngủ không an giấc:<i>to have a broken sleep</i></li><li>an giấc ngàn thu:<i>to sleep the long sleep, to sleep the sleep that knows no breaking</i></li></ul></li></ul>",verb: To sleep soundly,
84,an hưởng,"<h1>an hưởng</h1><h2>verb</h2><ul><li>To enjoy peacefully, to spend peacefully<ul style=""list-style-type:circle""><li>an hưởng tuổi già:<i>to spend one's old age peacefully</i></li></ul></li></ul>","verb: To enjoy peacefully, to spend peacefully",
85,an khang,<h1>an khang</h1><ul><li>xem khang an</li></ul>,xem khang an,
86,An Nam,<h1>An Nam</h1><ul><li>Vietnam was named An Nam under the Chinese and French dominations</li></ul>,Vietnam was named An Nam under the Chinese and French dominations,
87,an nghỉ,"<h1>an nghỉ</h1><h2>verb</h2><ul><li>To rest in peace and quiet<ul style=""list-style-type:circle""><li>nơi an nghỉ cuối cùng:<i>The last home, the last resting-place</i></li><li>người du kích anh hùng ấy mãi mãi an nghỉ trong nghĩa trang liệt sĩ:<i>that heroic guerilla lies at rest for ever and ever in the martyrs' cemetery</i></li><li>cầu cho Mary an nghỉ:<i>Mary RIP (requiescant in pace)</i></li></ul></li></ul>",verb: To rest in peace and quiet,
88,an nhàn,"<h1>an nhàn</h1><h2>adj</h2><ul><li>Leisured, leisurely<ul style=""list-style-type:circle""><li>sống cuộc sống an nhàn:<i>to lead a leisurely life, to live in comfort</i></li></ul></li></ul>","adj: Leisured, leisurely",
89,an ninh,"<h1>an ninh</h1><h2>noun</h2><ul><li>Security<ul style=""list-style-type:circle""><li>cơ quan an ninh:<i>Security service</i></li><li>an ninh chung, an ninh công cộng:<i>public security</i></li><li>hội đồng an ninh quốc gia:<i>national security council</i></li><li>an ninh quân đội:<i>military security</i></li><li>xâm hại an ninh quốc gia:<i>to make an attack on national security</i></li><li>phạm một tội xâm hại an ninh quốc gia:<i>to commit a crime prejudicial to national security</i></li></ul></li></ul>",noun: Security,
90,an phận,"<h1>an phận</h1><h2>verb</h2><ul><li>To feel smug<ul style=""list-style-type:circle""><li>tư tưởng an phận:<i>Smugness, smug feeling</i></li><li>an phận thủ thường:<i>to feel smug about one's present circumstances</i></li></ul></li></ul>",verb: To feel smug,
91,an táng,"<h1>an táng</h1><h2>verb</h2><ul><li>To bury<ul style=""list-style-type:circle""><li>an táng một cựu chiến binh bên cạnh những người bạn chiến đấu của ông ta:<i>to lay a war veteran to rest beside his companions in arms</i></li><li>lễ an táng:<i>burial service</i></li><li>dự lễ an táng người nào:<i>to attend someone's burial service</i></li></ul></li></ul>",verb: To bury,
92,an tâm,<h1>an tâm</h1><ul><li>xem yên tâm</li></ul>,xem yên tâm,
93,an thần,"<h1>an thần</h1><h2>verb</h2><ul><li>To act as a tranquillizer<ul style=""list-style-type:circle""><li>có nên dùng thuốc an thần sau nhiều đêm mất ngủ hay không?:<i>is it advisable to take some tranquillizer after several sleepless nights?</i></li></ul></li></ul>",verb: To act as a tranquillizer,
94,an toạ,"<h1>an toạ</h1><h2>verb</h2><ul><li>To take a seat, to be seated<ul style=""list-style-type:circle""><li>mời các vị an toạ:<i>pray, everyone, take a seat</i></li></ul></li></ul>","verb: To take a seat, to be seated",
95,an toàn,"<h1>an toàn</h1><h2>adj</h2><ul><li>Safe<ul style=""list-style-type:circle""><li>giữ vật gì ở nơi an toàn:<i>to keep sth in a safe place</i></li><li>họ trở về an toàn sau một cuộc thám hiểm không gian:<i>they got back safe from a spatial exploration</i></li><li>cái ghế này rất an toàn:<i>this chair is as safe as houses</i></li><li>giao du với bạn xấu thì không an toàn:<i>it is not safe to keep bad company</i></li><li>sự an toàn:<i>safety, safeness, security</i></li><li>cảm giác an toàn:<i>feeling of safeness</i></li><li>cuộc rút lui an toàn:<i>a covered retreat</i></li><li>giấy thông hành an toàn</li></ul></li></ul>",adj: Safe,
96,an trí,"<h1>an trí</h1><h2>verb</h2><ul><li>To banish, to exile</li></ul>","verb: To banish, to exile",
97,an ủi,"<h1>an ủi</h1><h2>verb</h2><ul><li>To comfort, to console<ul style=""list-style-type:circle""><li>không gì có thể an ủi anh ta khi đứa con trai duy nhất của anh ta thi hỏng:<i>nothing can console him when his only son fails in examination</i></li><li>sự an ủi, niềm an ủi:<i>consolation, solace, comfort</i></li><li>an ủi ai:<i>to pour comfort into someone's heart</i></li><li>một chút an ủi:<i>a grain of comfort</i></li><li>những lời an ủi:<i>Words of consolation</i></li><li>họ tìm nguồn an ủi ở người mẹ mến yêu:<i>they seek solace from their beloved mother</i></li><li>nàng là nguồn an ủi cuối cùng của tôi:<i>She is my last solace</i></li></ul></li></ul>","verb: To comfort, to console",
98,an vị,"<h1>an vị</h1><h2>verb</h2><ul><li>To be seated, to be in one's seat</li></ul>","verb: To be seated, to be in one's seat",
99,án,"<h1>án</h1><h2>noun</h2><ul><li>High and narrow table</li><li>Case<ul style=""list-style-type:circle""><li>vụ án giết người:<i>murder case</i></li></ul></li><li>Sentence<ul style=""list-style-type:circle""><li>án tử hình:<i>death sentence</i></li><li>án khổ sai:<i>hard labour sentence</i></li></ul></li></ul><h2>verb</h2><ul><li>To obstruct, to block the way<ul style=""list-style-type:circle""><li>án binh bất động:<i>to station one's troops somewhere and lie low</i></li></ul></li></ul>",noun: High and narrow table,
100,án mạng,"<h1>án mạng</h1><h2>noun</h2><ul><li>Murder<ul style=""list-style-type:circle""><li>đêm qua, cuộc hỗn chiến giữa hai băng găngxtơ ấy đã dẫn đến án mạng:<i>last night, the dogfight between those two bands of gangsters resulted in a murder</i></li></ul></li></ul>",noun: Murder,
101,án ngữ,"<h1>án ngữ</h1><h2>verb</h2><ul><li>To obstruct the access into<ul style=""list-style-type:circle""><li>đêm qua, cảnh sát cơ động án ngữ đường vào bãi biển ABC:<i>last night, mobile police obstructed the access into the ABC beach</i></li></ul></li></ul>",verb: To obstruct the access into,
